AttributeColumn,Match,Analyte,StdUnits
Ti_ME-MS61_pct,Start_sep,Ti,PPM
Ti_ME-MS61_percent,Start_sep,Ti,PPM
Ti_ME-MS61_ppm,Start_sep,Ti,PPM
Ti_ME-MS61r,Start_sep,Ti,PPM
Ti_MEICP61_pct,Start_sep,Ti,PPM
Ti_MEICP61_ppm,Start_sep,Ti,PPM
Ti_MEICP61s_pct,Start_sep,Ti,PPM
Ti_MEMS41_pct,Start_sep,Ti,PPM
Ti_MEMS61_pct,Start_sep,Ti,PPM
Ti_MEMS61_pct_DSC,Start_sep,Ti,PPM
Ti_MEMS61_pct_dsc,Start_sep,Ti,PPM
Ti_ME_ICP61_pct,Start_sep,Ti,PPM
Ti_ME_ICP61s_pct,Start_sep,Ti,PPM
Ti_ME_MS41_pct,Start_sep,Ti,PPM
Ti_ME_MS61L_pct,Start_sep,Ti,PPM
Ti_ME_MS61_pct,Start_sep,Ti,PPM
Ti_MMA01OES_ppm,Start_sep,Ti,PPM
Ti_MMI_M_ppb,Start_sep,Ti,PPM
Ti_MS61,Start_sep,Ti,PPM
Ti_MS61_pct,Start_sep,Ti,PPM
Ti_MS_%,Start_sep,Ti,PPM
Ti_MXB_ppm,Start_sep,Ti,PPM
Ti_Mar01_ppm,Start_sep,Ti,PPM
Ti_Me,Start_sep,Ti,PPM
Ti_Meth,Start_sep,Ti,PPM
Ti_NITON_ppm,Start_sep,Ti,PPM
Ti_OES,Start_sep,Ti,PPM
Ti_PC_ME-ICP61s,Start_sep,Ti,PPM
Ti_PERCENT,Start_sep,Ti,PPM
Ti_PPM_AT-ICPOES_GENALYS,Start_sep,Ti,PPM
Ti_PPM_GF-XRF_ANALABS,Start_sep,Ti,PPM
Ti_PXRFS_ppm,Start_sep,Ti,PPM
Ti_Q-AR1MS_%_0_0_005,Start_sep,Ti,PPM
Ti_Range,Start_sep,Ti,PPM
Ti_Rpt0_%_ICP102,Start_sep,Ti,PPM
Ti_Rpt0_%_ME-ICP61,Start_sep,Ti,PPM
Ti_Rpt0_%_XRF204,Start_sep,Ti,PPM
Ti_Rpt0_FUSOE4_ppm,Start_sep,Ti,PPM
Ti_Rpt0_GX401_ppm,Start_sep,Ti,PPM
Ti_Rpt0_ICP102_ppm,Start_sep,Ti,PPM
Ti_Rpt0_ME-ICP41_%,Start_sep,Ti,PPM
Ti_Rpt0_MEICP61_pct,Start_sep,Ti,PPM
Ti_Rpt0_PPM_UN_UN,Start_sep,Ti,PPM
Ti_Rpt0_ppm_AR101,Start_sep,Ti,PPM
Ti_Rpt0_ppm_ICP102,Start_sep,Ti,PPM
Ti_SPICP102_pct,Start_sep,Ti,PPM
Ti_Silica,Start_sep,Ti,PPM
Ti_Soil3Beam_ERROR,Confidence,NULL,NULL
Ti_Soil3Beam_ppm,Start_sep,Ti,PPM
Ti_Soil3Beam_ppm_0,Start_sep,Ti,PPM
Ti_Total_pct,Start_sep,Ti,PPM
Ti_UNKN_pct,Start_sep,Ti,PPM
Ti_UNKN_ppm,Start_sep,Ti,PPM
Ti_UNK_pct,Start_sep,Ti,PPM
Ti_UNK_ppm,Start_sep,Ti,PPM
Ti_UT,Start_sep,Ti,PPM
Ti_Unkn_Unkn_0,Start_sep,Ti,PPM
Ti_XRF,Start_sep,Ti,PPM
Ti_XRF001_pct,Start_sep,Ti,PPM
Ti_XRF202_%_0,Start_sep,Ti,PPM
Ti_XRF204_%_0,Start_sep,Ti,PPM
Ti_XRF_PPM,Start_sep,Ti,PPM
Ti_XRF_error,Confidence,NULL,NULL
Ti_XRF_pct,Start_sep,Ti,PPM
Ti_XRF_ppm,Start_sep,Ti,PPM
Ti____,Start_sep,Ti,PPM
Ti____Error,Confidence,NULL,NULL
Ti__ppb,Start_sep,Ti,PPM
Ti_detection_limit,Confidence,NULL,NULL
Ti_eHHXRF_ppm,Start_sep,Ti,PPM
Ti_err,Confidence,NULL,NULL
Ti_error,Confidence,NULL,NULL
Ti_final,Start_sep,Ti,PPM
Ti_ma,Start_sep,Ti,PPM
Ti_pXRF_ERROR,Confidence,NULL,NULL
Ti_pXRF_ppm,Start_sep,Ti,PPM
Ti_partial_pct,Start_sep,Ti,PPM
Ti_pc,Start_sep,Ti,PPM
Ti_pct,Start_sep,Ti,PPM
Ti_pctME-ICP61,Start_sep,Ti,PPM
Ti_pctMEICP61,Start_sep,Ti,PPM
Ti_pct_1FMS,Start_sep,Ti,PPM
Ti_pct_BEST,Start_sep,Ti,PPM
Ti_pct_BEST_NAME,Start_sep,Ti,PPM
Ti_pct_ME-ICP61s,Start_sep,Ti,PPM
Ti_pct_range,Start_sep,Ti,PPM
Ti_pctpref,Start_sep,Ti,PPM
Ti_perc,Start_sep,Ti,PPM
Ti_plt_m,Start_sep,Ti,PPM
Ti_ppb,Start_sep,Ti,PPM
Ti_ppbMEMS23,Start_sep,Ti,PPM
Ti_ppb_BEST,Start_sep,Ti,PPM
Ti_pph,Start_sep,Ti,PPM
Ti_ppm,Start_sep,Ti,PPM
Ti_ppmG,Start_sep,Ti,PPM
Ti_ppmN,Start_sep,Ti,PPM
Ti_ppm_,Start_sep,Ti,PPM
Ti_ppm_4A_OE,Start_sep,Ti,PPM
Ti_ppm_5_4A/MS,Start_sep,Ti,PPM
